[2025-02-03 19:08:12,226: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:08:12,229: INFO: common: created directory at: artifacts]
[2025-02-03 19:08:12,231: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:08:12,233: INFO: 4072621235: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:09:54,000: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:09:54,002: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:09:54,003: INFO: common: created directory at: artifacts]
[2025-02-03 19:09:54,004: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:09:54,005: INFO: 2984485970: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:10:08,822: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:10:08,824: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:10:08,826: INFO: common: created directory at: artifacts]
[2025-02-03 19:10:08,828: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:10:08,830: INFO: 1355691781: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:18:42,820: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:18:42,822: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:18:42,824: INFO: common: created directory at: artifacts]
[2025-02-03 19:18:42,825: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:18:42,826: INFO: 1355691781: Downloading data from https://drive.google.com/file/d/19TMdyuZosoiLC3wQILiZb67ABE6nFANv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:19:35,682: INFO: 1355691781: Downloaded data from https://drive.google.com/file/d/19TMdyuZosoiLC3wQILiZb67ABE6nFANv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:48:29,403: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-02-03 19:48:29,406: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:48:29,409: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:48:29,409: INFO: common: created directory at: artifacts]
[2025-02-03 19:48:29,410: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:48:29,411: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/19TMdyuZosoiLC3wQILiZb67ABE6nFANv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:49:03,087: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/19TMdyuZosoiLC3wQILiZb67ABE6nFANv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:49:21,018: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<]
